Artikelnummer,GTIN,Artikelname,Menge,Umsatz Netto,Idealo Link,Brutto-VK,Netto-VK,Durchschnittlicher Einkaufspreis (netto),UVP,Steuersatz in %,JTL-Wawi: Endkunden Netto,JTL-Wawi: Endkunden Brutto,Idealo Clicks 30 Tage
DRN-4260084340416,4260084340416,Dr. Niedermaier Rechtsregulat Bio | 350 ml | vegetarisch,641,21454.58,https://www.idealo.de/preisvergleich/OffersOfProduct/3991741,"34,95","29,37","26,62","44,90","19,00","29,37","34,95",10
PJ-4260196680271,4260196680271,P. Jentschura MorgenStund' | 2000 g | basischer Hirse-Buchweizen-Brei | ohne Zuckerzusatz | glutenfrei | bio | vegan,396,9665.61,https://www.idealo.de/preisvergleich/OffersOfProduct/4314482,"25,90","24,21","20,50","33,50","7,00","24,21","25,90",106
PJ-4260196684446,4260196684446,P. Jentschura Wurzelkraft | 1650 g | pflanzliches Feingranulat | 100 Zutaten | gluten- und laktosefrei | bio,48,9232.02,https://www.idealo.de/preisvergleich/OffersOfProduct/6464826,"194,90","182,15","157,50","295,00","7,00","182,15","194,90",6
NG-4260633570233,4260633570233,"NatuGena LipoVitamine Forte 5000 | 20 ml | Vitamin A, E, K2 & D3 mit 5000 IE pro Tropfen | mit MCT-Kokosöl | vegetarisch",300,8895.3,https://www.idealo.de/preisvergleich/OffersOfProduct/200891965,"34,95","32,66","19,71","37,95","7,00","32,66","34,95",
FM-4260461014602,4260461014794,Fairment SuperMikroben Plus | 60 Kapseln | Probiotika Komplex mit Vitamin B und Mineralien | vegan,297,8378.82,https://www.idealo.de/preisvergleich/OffersOfProduct/209668238_-supermikroben-plus-kapseln-60-stk-fairment.html,"32,90","30,75","22,83","34,90","7,00","30,75","32,90",47
NG-4260633572749,4260633572749,"NatuGena MukosaAktiv | 210 Kapseln | L-Glutamin, Propionsäure, Extrakte aus Kamille & Weihrauch, Lecithin | vegan",192,8092.08,,"47,95","44,81","25,67","49,95","7,00","44,81","47,95",
NG-4260633572756,4260633572756,NatuGena Mitochondrien Aktivator Pulver | 633 g | Mango-Maracuja-Shake mit Mikronährstoffen und Protein | vegan,101,7566.05,,"84,95","79,39","46,24","89,95","7,00","79,39","84,95",
NG-4260633570028,4260633570028,NatuGena HydroVitamine | 90 Kapseln | Vitamin-B-Komplex mit allen 14 B-Vitaminen & Vitamin C | vegan,247,7239.98,https://www.idealo.de/preisvergleich/OffersOfProduct/201815788_-hydro-vitamine-kapseln-90stk-natugena.html,"34,95","32,66","19,50","37,95","7,00","32,66","34,95",
VW-S,4150099014085,Vitaworld SAMe 400mg | 60 Kapseln | 400 mg reines S-Adenosyl-L-Methionin pro Kapsel | hergestellt in Deutschland | vegan,175,6500.24,https://www.idealo.de/preisvergleich/OffersOfProduct/200797657,"43,90","41,03","26,00","49,90","7,00","41,03","43,90",20
NG-4260633571605,4260633571605,"NatuGena Mitochondrien Aktivator 44+14 | 240 Kapseln | Komplex mit Vitaminen, Pflanzenextrakten & Mineralstoffen | vegan",156,6027.96,https://www.idealo.de/preisvergleich/OffersOfProduct/206764732,"46,95","43,88","25,67","49,95","7,00","43,88","46,95",
NG-4260633571896,4260633571896,NatuGena Magnesia 7+1 | 90 Kapseln | Magnesium-Komplex mit 8 Magnesiumformen für optimale Absorption | vegan,248,5801.31,https://www.idealo.de/preisvergleich/OffersOfProduct/206209607,"27,95","26,12","15,55","29,95","7,00","26,12","27,95",
NG-4260633571469,4260633571469,NatuGena Omega-3 Vegane Kapseln | 90 Stück | hochdosiertes Algenöl mit EPA & DHA | vegan,214,5582.24,https://www.idealo.de/preisvergleich/OffersOfProduct/204492882,"29,95","27,99","16,93","32,95","7,00","27,99","29,95",
NG-4251938106104,4251938106104,NatuGena MamaFit | 180 Kapseln | Spezialformel für Schwangerschaft und Stillzeit mit Vitaminen & Mineralstoffen | vegan,162,5338.69,,"38,95","36,40","20,54","39,95","7,00","36,40","38,95",4
PJ-4260196684453,4260196684453,P. Jentschura Wurzelkraft | 600 g | pflanzliches Feingranulat | 100 Zutaten | gluten- und laktosefrei | bio,67,5135.92,https://www.idealo.de/preisvergleich/OffersOfProduct/6465068,"79,90","74,67","63,75","117,50","7,00","74,67","79,90",6
NG-4260633572862,4260633572862,"NatuGena Mukosa Pulver | 165 g | L-Glutamin, Extrakte aus Aloe-Vera, Roter Ulme & Lakritze | vegan",159,4652.58,,"32,95","30,79","17,96","34,95","7,00","30,79","32,95",23
NG-4260633570295,4260633570295,"NatuGena ZellEnergie | 60 Kapseln | Komplex mit NADH, Coenzym Q10, R-Alpha-Liponsäure und Trans-Resveratrol | vegan",114,4397.28,https://www.idealo.de/preisvergleich/OffersOfProduct/201426514,"46,95","43,88","25,67","49,95","7,00","43,88","46,95",
NG-4260633571346,4260633571346,"NatuGena Q10 Ubiquinol Spray | 100 ml | liposomal | 6,2-fach erhöhte Bioverfügbarkeit | vegan",56,4176.05,,"87,95","82,20","47,04","89,95","7,00","82,20","87,95",
DRN-4260084344421,4260084344421,Dr. Niedermaier Regulatpro Metabolic | 350 ml,118,3975.36,https://www.idealo.de/preisvergleich/OffersOfProduct/4076151,"35,95","30,21","26,49","44,90","19,00","30,21","35,95",
NG-4260633572480,4260633572480,NatuGena Phospholipid 4+1 Komplex | 150 Kapseln | mit 5 Phospholipiden | liposomale Formulierung | vegan,102,3449.21,,"37,95","35,47","20,54","39,95","7,00","35,47","37,95",6
NG-4260633571438,4260633571438,"NatuGena Fisetin | 90 Kapseln | Polyphenol-Komplex mit Quercetin, Spermidin, Resveratrol & Grünem Tee | vegan",82,3361.46,https://www.idealo.de/preisvergleich/OffersOfProduct/209320661,"47,95","44,81","25,68","49,95","7,00","44,81","47,95",
NOR-0781490329917,781490329917,Norsan Omega-3 Vegan | 100 ml | pflanzliches Algenöl | reich an Omega-3-Fettsäuren | Bio-Olivenöl | nachhaltig,152,3308.48,https://www.idealo.de/preisvergleich/OffersOfProduct/6378902_-omega-3-vegan-fluessig-100ml-norsan.html,"25,90","24,21","17,62","29,00","7,00","24,21","25,90",
NG-4260633572268,4260633572268,"NatuGena SchilddrüsenGlück | 180 Kapseln | Jod-Komplex mit Selen, L-Tyrosin & Astaxanthin | vegan",107,3236.5,https://www.idealo.de/preisvergleich/OffersOfProduct/208696783,"32,95","30,79","17,96","34,95","7,00","30,79","32,95",4
NG-4260633571483,4260633571483,NatuGena Omega-3 Veganes Öl | 100 ml | Algenöl mit hohem DHA & EPA Gehalt | Zitronengeschmack | vegan,125,3215.26,https://www.idealo.de/preisvergleich/OffersOfProduct/204492893,"30,95","28,93","16,93","32,95","7,00","28,93","30,95",
NG-4260633571322,4260633571322,NatuGena Magnesium Taurat | 120 Kapseln | hochbioverfügbares Magnesium | vegan,134,3198.73,https://www.idealo.de/preisvergleich/OffersOfProduct/206209603,"27,95","26,12","15,39","29,95","7,00","26,12","27,95",2
PJ-4260196682800,4260196682800,P. Jentschura MeineBase | 2750 g | basisches Körperpflegesalz | Naturkosmetik | hautfreundlich | mit 8 Edelsteinen,94,3134.23,https://www.idealo.de/preisvergleich/OffersOfProduct/3377357,"46,50","39,08","26,50","52,50","19,00","39,08","46,50",6
NG-4260633572145,4260633572145,"NatuGena Omega-3 Öl | 200 ml | natürliches, hochwertiges Fischöl | aus nachhaltigem Fischfang | Orange-Zitrone-Geschmack",100,2893.1,https://www.idealo.de/preisvergleich/OffersOfProduct/208696781,"32,95","30,79","17,96","34,95","7,00","30,79","32,95",
NG-4260633571636,4260633571636,"NatuGena Omega-3 Kapseln | 90 Stück | mit natürlichem, hochwertigen Fischöl aus nachhaltigem Fischfang",98,2772.36,https://www.idealo.de/preisvergleich/OffersOfProduct/206209616_-omega-3-fischoel-705-mg-dha-1390-mg-epa-kapseln-90-stk-natugena.html,"32,95","30,79","17,96","34,95","7,00","30,79","32,95",
NOR-0305398867571,305398867571,Norsan Omega-3 Vegan Kapseln | 80 Stück | hochdosierte Algenöl-Quelle für EPA & DHA | umweltschonend | vegan,125,2704.97,https://www.idealo.de/preisvergleich/OffersOfProduct/201463657_-omega-3-vegan-kapseln-80-stk-norsan.html,"25,90","24,21","17,62","29,00","7,00","24,21","25,90",
DRN-4260084340751,4260084340751,Dr. Niedermaier Regulatpro Hyaluron Drink | 20 x 20 ml | Anti-Aging Beauty-Drink mit Hyaluronsäure & Kieselsäure,58,2675.43,,"64,90","54,54","40,95","74,90","19,00","54,54","64,90",
NG-4260633570912,4260633570912,NatuGena Magnesium Glycinat | 120 Kapseln | hohe Bioverfügbarkeit | gut verträglich | vegan,101,2457.47,https://www.idealo.de/preisvergleich/OffersOfProduct/201925840,"27,95","26,12","15,39","29,95","7,00","26,12","27,95",
NG-4260633571100,4260633571100,NatuGena NRF2 Aktivator | 90 Kapseln | Polyphenole aus Pflanzenextrakten mit Trans-Resveratrol & Quercetin | vegan,64,2436.14,,"47,95","44,81","25,67","49,95","7,00","44,81","47,95",
NG-4260633570936,4260633570936,NatuGena MyrrheAktiv | 60 Kapseln | Myrrhe- und Schwarzkümmel-Extrakt ergänzt mit Boswellia und Kamillenblüten | vegan,98,2395.36,https://www.idealo.de/preisvergleich/OffersOfProduct/202085952,"32,95","30,79","17,64","34,95","7,00","30,79","32,95",
NG-4260633570646,4260633570646,NatuGena N-Zymarase Intest | 90 Kapseln | natürlicher Enzym-Komplex für die Verdauung mit Papain und Bromelain | vegan,63,2271.13,https://www.idealo.de/preisvergleich/OffersOfProduct/201878418,"44,95","42,01","23,10","44,95","7,00","42,01","44,95",
NG-4260633570592,4260633570592,NatuGena Colostrum | 60 Kapseln | Rinder-Colostrum mit 30% Immunglobuline | bio | vegetarisch,74,2154.01,,"34,95","32,66","17,96","34,95","7,00","32,66","34,95",
DRN-4260084346258,4260084346258,"Dr. Niedermaier Regulatpro Complete | 350 ml | Nahrungsergänzungsmittel mit Vitaminen, Mineralstoffen & Kräuterauszügen",69,2097.1,https://www.idealo.de/preisvergleich/OffersOfProduct/204684337,"42,90","36,05","25,90","44,90","19,00","36,05","42,90",3
NO-707196300058,7071963000058,Norsan Omega-3 Kapseln | 120 Kapseln | Hochdosiert und Rein für Tägliche Gesundheit | Ideal für Unterwegs,92,2074.76,https://www.idealo.de/preisvergleich/OffersOfProduct/5596143_-omega-3-kapseln-120-stk-norsan.html,"25,90","24,21","17,62","29,00","7,00","24,21","25,90",
RV-4019839841575,4019839841575,"Raab Vitalfood Elektrolyte Pur Pulver | 320 g | isotonisch | mit Magnesium, Kalium, Calcium, Natrium & Chlorid | vegan",110,2051.93,,"21,90","20,47","14,97","23,90","7,00","20,47","21,90",34
NG-4260633570349,4260633570349,NatuGena Glutathion 500 | 60 Kapseln | aus 100?% bioaktivem reduzierten Glutathion | aus deutscher Herstellung | vegan,59,2026.25,https://www.idealo.de/preisvergleich/OffersOfProduct/202066541,"42,95","40,14","23,10","44,95","7,00","40,14","42,95",
SN-4009890110291,4009890110291,Sanatura Bio Akazienfaser | 300?g | ballaststoffreich | vegan,172,2004.45,,"15,25","12,82","9,36","16,99","19,00","12,82","15,25",23
NG-4260633571629,4260633571629,"NatuGena ProlyseZym | 150 Kapseln | Nattokinase 4.000 FU, Bromelain & Curcumin | vegan",40,1949.95,https://www.idealo.de/preisvergleich/OffersOfProduct/206209610,"57,95","54,16","30,82","59,95","7,00","54,16","57,95",
NOR-7071963000027,7071963000027,Norsan Omega-3 Total | 200 ml | Zitronengeschmack | mit natürlichem Fischöl und Bio-Olivenöl | hoher EPA Gehalt,92,1929.76,https://www.idealo.de/preisvergleich/OffersOfProduct/4825223_-omega-3-total-fluessig-200-ml-norsan.html,"24,90","23,27","16,40","27,00","7,00","23,27","24,90",
NG-4260633570899,4260633572251,NatuGena Astaxanthin | 60 Kapseln | AstaReal® aus Haematococcus pluvialis | vegan,52,1927.66,,"42,95","40,14","23,11","44,95","7,00","40,14","42,95",3
PJ-4260196684460,4260196684460,P. Jentschura Wurzelkraft | 300 g | pflanzliches Feingranulat | 100 Zutaten | gluten- und laktosefrei | bio,43,1882.59,https://www.idealo.de/preisvergleich/OffersOfProduct/6467390,"45,90","42,90","35,00","65,00","7,00","42,90","45,90",10
NG-4260633570257,4260633570257,NatuGena TriTox® | 450 Presslinge | Chlorella-Alge mit mikronisiertem Seegras-Pektin | aus deutscher Herstellung | vegan,43,1806.62,https://www.idealo.de/preisvergleich/OffersOfProduct/208696778,"49,95","46,68","25,67","49,95","7,00","46,68","49,95",
HUE-4010160001850,4010160001850,"Hübner Gute Laune | 30 Tabletten | L-Tyrosin, L-Tryptophan, Vitamin?B6, Safran & Rhodiola | vegan",280,1772.49,https://www.idealo.de/preisvergleich/OffersOfProduct/203866644,"6,95","6,50","5,58","9,95","7,00","6,50","6,95",15
NG-4260633570011,4260633570011,NatuGena OktaAmino | 150 Presslinge | 8 essentielle Aminosäuren im optimalen Verhältnis | schnelle Aufnahme | vegan,58,1769.09,https://www.idealo.de/preisvergleich/OffersOfProduct/202254255,"37,95","35,47","20,53","39,95","7,00","35,47","37,95",
NG-4260633571681,4260633571681,NatuGena Magnesium Malat & Glycinat | 90 Kapseln | Magnesium-Komplex | hergestellt in Deutschland | vegan,70,1758.53,https://www.idealo.de/preisvergleich/OffersOfProduct/208696772,"27,95","26,12","15,39","29,95","7,00","26,12","27,95",1
NG-4260633570417,4260633570417,"NatuGena GaSta Aktiv | 623 g | Ballaststoffe, Bakterien, Vitamine & Mineralien | glutenfrei | vegan",37,1733.73,https://www.idealo.de/preisvergleich/OffersOfProduct/201814604,"59,95","56,03","30,82","59,95","7,00","56,03","59,95",
NG-4260633572770,4260633572770,NatuGena Myo-Inositol Dual | 120 Kapseln | Myo-Inositol & D-Chiro-Inositol | 9:1 Verhältnis | vegan,77,1726.57,https://www.idealo.de/preisvergleich/OffersOfProduct/209320658,"27,95","26,12","15,39","29,95","7,00","26,12","27,95",2
